GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab4,cs.lab,Url,6,27,2,2,1,8,2,3,0,3
lab4,cs.lab,Sujeto,0,8,0,0,0,3,0,2,0,2
lab4,cs.lab,IncorrectFormatException,0,4,0,0,0,2,0,1,0,1
lab4,cs.lab,Description,0,29,0,2,0,9,0,4,0,3
lab4,cs.lab,Validator,13,58,0,2,2,15,0,4,0,3
